year;Y;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23
2011;1;1,490295488;2,044627603;0,890303586;0,200406193;0,846043951;3,165019407;0,485514361;0,57386423;1,12321237;5,854802328;105,6724567;1,1048174;0,043530118;22,97260012;0,048092832;0,313512347;0,11622556;3,141448426;1,525218324;31,71404675;0,013805162;0,099427452;0,035285137
2018;1;0,544001276;1,745851677;8,5139241;0,076062419;0,946243059;0,883249731;0,047480803;0,050178232;0,117454653;1,151735002;66,25362948;1;0,337463705;2,963281635;0,337463705;6,277583895;0,622632388;41,0366128;1,948451345;5,773810088;0,019484513;0,362455772;0,048199411
2017;1;0,715265346;1,635413827;1,040578035;0,418816568;0,967814149;11,22745454;0,361365184;0,373382829;0,961004333;1,45800211;70,53718252;1;0,294628175;3,394108525;0,294628175;9,153965528;0,49786314;7,514738066;2,715564706;9,216921321;0,027155647;0,8437138;0,072216958
2016;1;0,308328268;1,365055756;5,015446836;0,20046412;0,964254277;1,438356934;0,051415108;0,05332111;0,19938403;0,363088853;81,69250729;1;0,183074927;5,462244427;0,183074927;5,121589757;0,259171765;79,78797475;4,102307343;22,40780542;0,041023073;1,147635867;0,159084479
2015;1;0,190803157;1,330684259;2,148250678;0,035889856;0,997301843;42,75756753;0,11536662;0,115678739;0,465495024;4,289007983;87,10318653;1;0,128968135;7,753853325;0,128968135;47,79860717;0,172080166;18,97004421;2,188509873;16,96938456;0,021885099;8,111129465;0,088304612
2014;1;0,202335534;1,240262221;3,310726382;0,018593807;0,99735758;22,0850184;0,058357889;0,058512504;0,302048519;3,902958034;92,00602273;1;0,079939773;12,50941761;0,079939773;30,25248816;0,09940896;41,14702065;2,401253271;30,03827994;0,024012533;9,087327082;0,124283966
2013;1;0,337201708;1,59685745;3,618731363;0,03758332;0,99706114;35,04217476;0,102984038;0,103287586;0,276339938;4,388530606;74,80634033;1;0,251936597;3,969252635;0,251936597;85,72596708;0,40349264;27,14237197;2,795231065;11,09497827;0,027952311;9,511277418;0,075005214
2012;1;0,303164575;1,597771024;3,479556408;0,035629958;0,997019551;41,29079388;0,107201315;0,107521778;0,287392956;4,821649815;74,08016545;1;0,259198345;3,858049318;0,259198345;99,83558008;0,415377618;22,70090563;2,433566932;9,388821244;0,024335669;9,373384152;0,065240804
2011;1;0,43601506;2,189228154;7,227034218;0,035621721;0,99676191;23,13751036;0,07492133;0,07516472;0,138369346;4,619448981;55,32202718;1;0,446779728;2,23823942;0,446779728;137,9763352;0,981280233;16,58966099;1,242919472;2,781951358;0,012429195;3,838434531;0,022955005
2018;0;0,394301818;0,435169368;-5,50866459;0,003135831;0,178498201;0,051196341;0,042057886;0,235620783;-0,1815322;32,69785176;-2,005091764;1;1,020050918;0,980343219;1,020050918;1,241690425;2,486831297;-161,3424433;-6,785722068;-6,652336614;-0,067857221;-0,082601427;0,292888486
2017;0;0,435079231;0,497749535;-4,655806642;0,032746467;0,185519635;0,049365531;0,040207256;0,216727764;-0,214785552;3,294283424;1,068404574;1;0,989315954;1,010799427;0,989315954;1,214659059;2,654336599;-192,2058184;-7,728068451;-7,811527165;-0,077280685;-0,094883422;0,412830328
2016;0;0,510628516;0,553472448;-5,93551224;0,149412869;0,204084763;0,034852811;0,027739883;0,135923344;-0,168477456;0,503502987;13,82725202;1;0,86172748;1,160459685;0,86172748;1,082687502;2,336982003;-346,390662;-9,608836572;-11,15066746;-0,096088366;-0,120726883;0,583590174
2015;0;0,318825091;0,339017448;-8,595062114;0,106632489;0,25820755;0,078959694;0,058571704;0,226839628;-0,116345872;0,721192879;68,1581883;1;0,318418117;3,140524822;0,318418117;0,429254999;0,418071808;-186,334834;-10,91394883;-34,27552721;-0,109139488;-0,147129414;0,216792888
2014;0;0,616083398;0,659009378;-0,808934477;0,091047229;0,550632186;0,783785322;0,352207897;0,639642769;-1,236194065;4,62980133;84,09359342;0,997443632;0,156908814;6,373128262;0,156507698;0,348284174;0,187312044;-15,43347471;-5,435791665;-34,73178471;-0,054497232;-0,120965309;0,190787698
2013;0;0,646342116;0,775031575;-0,663715576;0,145874968;0,704532939;1,042827301;0,308121117;0,437340968;-1,506669478;2,323586174;99,48266407;1;0,005173359;193,2979984;0,005173359;0,01750909;0,005691028;-19,17968758;-5,90966677;-1142,326758;-0,059096668;-0,200011018;0,288974499
2012;0;0,628802675;0,786267095;-0,304013532;0,018666376;0,629877455;1,521664457;0,563202322;0,894145866;-3,289327263;37,66330815;98,94802142;1;0,010519786;95,0589694;0,010519786;0,02842244;0,013131699;-18,73480646;-10,5514865;-1003,013432;-0,105514865;-0,285080891;0,616249096
2011;0;0,598339981;0,864795804;-0,15929623;0,088024257;0,654819806;1,861860068;0,64267722;0,981456599;-6,277612481;9,642337013;99,52159983;1;0,004784002;209,030027;0,004784002;0,013859433;0,00631805;-9,88929514;-6,355624705;-1328,516404;-0,063556247;-0,184124837;0,620811626
2018;1;2,753950383;3,238912348;1,308845252;0,315594543;0,706627893;1,272100874;0,373198914;0,528140649;0,764032263;5,420249823;96,2121712;1;0,037878288;26,40034837;0,037878288;0,129113461;0,173619604;10,15729818;3,790692645;100,0756064;0,037906926;0,129211079;0,077605035
